location_name,iso_a3,highBP,highLDL,diabetes,smoking,highBMI,unhealthyDiet,lowPhysicalActivity,,,,,,,,,
Mozambique,MOZ,70.24774540,14.95336991,16.61499803,9.16911469,17.72029063,34.34199986,0.69468099,,,,,,,,,
Myanmar,MMR,143.99035990,40.80776456,63.76824750,36.80379599,35.21043520,88.12184097,4.45032680,,,,,,,,,
Namibia,NAM,90.02691660,22.99766102,32.69234154,14.78781126,36.71129621,49.18378453,5.22910094,,,,,,,,,
Nauru,NRU,139.23722180,77.96516551,65.10058795,64.33000176,90.50619486,96.20596398,5.36232155,,,,,,,,,
Nepal,NPL,69.64110965,31.13465588,28.50263322,27.62712501,18.91883006,56.55758291,4.01260841,,,,,,,,,
Netherlands,NLD,117.88646330,57.77739283,40.28882712,33.29369696,30.35493103,69.70929524,6.30657822,,,,,,,,,
New Zealand,NZL,120.13642750,74.08494803,45.19105096,28.43503218,43.18564910,88.37680182,14.96994393,,,,,,,,,
Nicaragua,NIC,68.83964977,35.14538702,39.22202950,9.77575384,27.21418265,47.32059024,1.92985420,,,,,,,,,
Niger,NER,40.62123640,10.77614514,11.31517184,2.81020756,10.11449200,21.60607734,1.16441556,,,,,,,,,
Nigeria,NGA,47.36847401,13.86982897,10.88887694,3.06481652,13.55200961,21.70555622,1.59228588,,,,,,,,,
Niue,NIU,275.26488560,116.51394550,146.91528490,69.70917089,133.10193010,181.32107730,21.21441307,,,,,,,,,
North Macedonia,MKD,378.70089220,152.10406030,197.81282640,129.13861930,162.52589690,236.58478570,16.74881179,,,,,,,,,
Northern Mariana Islands,MNP,154.19561950,80.43037412,86.56189335,60.80011507,101.77457680,108.45859480,9.56501524,,,,,,,,,
Norway,NOR,116.19784430,64.30935713,54.84644152,20.95163311,26.92638509,76.53561103,12.31424353,,,,,,,,,
Oman,OMN,62.57946408,41.64622639,32.69162390,11.40625966,38.25473295,42.89542884,9.12851672,,,,,,,,,
Pakistan,PAK,87.94823923,40.04709860,31.76838128,23.80587672,28.22986514,68.69934678,5.09528357,,,,,,,,,
Palau,PLW,197.51915260,125.85796190,130.79118500,77.43638022,135.13451050,160.12834130,13.61953219,,,,,,,,,
Palestine,PSE,69.46234932,42.52449642,42.72388726,23.41077588,34.32561172,49.79032722,9.78448897,,,,,,,,,
Panama,PAN,67.22904833,30.26893592,36.55325927,8.28802383,23.53331718,43.14293229,1.84799025,,,,,,,,,
Papua New Guinea,PNG,65.00981629,36.29400622,46.26581117,29.76807279,27.45506966,60.24779255,2.98207064,,,,,,,,,
